OrgNummer,Navn,Filnavn,EndepunktProduksjon,EndepunktTest
937891423,Tinn Sparebank,Tinn_Sparebank_937891423_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937891423,
816793432,Tolga-Os Sparebank,Tolga-Os_Sparebank_816793432_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/816793432,
937887787,Totens Sparebank,Totens_Sparebank_937887787_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937887787,
937885377,Trøgstad Sparebank,Trogstad_Sparebank_937885377_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937885377,
937897375,Tysnes Sparebank,Tysnes_Sparebank_937897375_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937897375,
937888759,Valdres Sparebank,Valdres_Sparebank_937888759_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937888759,
937893922,Valle Sparebank,Valle_Sparebank_937893922_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937893922,
817244742,Voss Veksel- og Landmandsbank ASA,Voss_Veksel-_og_Landmandsbank_ASA_817244742_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/817244742,
937901925,Ørland Sparebank,Orland_Sparebank_937901925_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937901925,
837900212,Ørskog Sparebank,Orskog_Sparebank_837900212_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/837900212,
937894260,Østre Agder Sparebank,Ostre_Agder_Sparebank_937894260_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937894260,
937902441,Åfjord Sparebank,Afjord_Sparebank_937902441_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/937902441,
917135428,Kredd AS,Kredd_AS_917135428_Accounts-API.json,https://api.kredd.it/kok/v1,https://api-test.kredd.it/kok/v1
914864445,BN Bank,BN_Bank_914864445_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/9236,
937897464,Etne Sparebank,Etne_Sparebank_937897464_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/3543,
937894627,Flekkefjord Sparebank,Flekkefjord_Sparebank_937894627_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/3030,
837895502,Haugesund Sparebank,Haugesund_Sparebank_837895502_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/3249,
937893655,Lillesands Sparebank,Lillesands_Sparebank_937893655_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/2850,
937898614,Luster Sparebank,Luster_Sparebank_937898614_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/3785,
